No,Date,Total AF,Total Acc AF,Max G/M
302,11/20/21, 0.00,69.28,0.00
303,11/21/21, 0.00,69.28,0.00
304,11/22/21, 0.00,69.28,0.00
305,11/23/21, 0.00,69.28,0.00
306,11/24/21, 0.00,69.28,0.00
307,11/25/21, 0.00,69.28,0.00
308,11/26/21, 0.00,69.28,0.00
309,11/27/21, 0.00,69.28,0.00
310,11/28/21, 0.00,69.28,0.00
311,11/29/21, 0.00,69.28,0.00
312,11/30/21, 0.00,69.28,0.00
313,12/01/21, 0.00,69.28,0.00
314,12/02/21, 0.00,69.28,0.00
315,12/03/21, 0.00,69.28,0.00
316,12/04/21, 0.00,69.28,0.00
317,12/05/21, 0.00,69.28,0.00
318,12/06/21, 0.00,69.28,0.00
319,12/07/21, 0.00,69.28,0.00
320,12/08/21, 0.00,69.28,0.00
321,12/09/21, 0.00,69.28,0.00
322,12/10/21, 0.00,69.28,0.00
323,12/11/21, 0.00,69.28,0.00
324,12/12/21, 0.00,69.28,0.00
325,12/13/21, 0.00,69.28,0.00
326,12/14/21, 0.00,69.28,0.00
327,12/15/21, 0.00,69.28,0.00
328,12/16/21, 0.00,69.28,0.00
329,12/17/21, 0.00,69.28,0.00
330,12/18/21, 0.00,69.28,0.00
331,12/19/21, 0.00,69.28,0.00
332,12/20/21, 0.00,69.28,0.00
333,12/21/21, 0.00,69.28,0.00
334,12/22/21, 0.00,69.28,0.00
335,12/23/21, 0.00,69.28,0.00
336,12/24/21, 0.00,69.28,0.00
337,12/25/21, 0.00,69.28,0.00
338,12/26/21, 0.00,69.28,0.00
339,12/27/21, 0.00,69.28,0.00
340,12/28/21, 0.00,69.28,0.00
341,12/29/21, 0.00,69.28,0.00
342,12/30/21, 0.00,69.28,0.00
343,12/31/21, 0.00,69.28,0.00
344,01/01/22, 0.00,69.28,0.00
345,01/02/22, 0.00,69.28,0.00
346,01/03/22, 0.00,69.28,0.00
347,01/04/22, 0.00,69.28,0.00
348,01/05/22, 0.00,69.28,0.00
349,01/06/22, 0.00,69.28,0.00
350,01/07/22, 0.00,69.28,0.00
351,01/08/22, 0.00,69.28,0.00
352,01/09/22, 0.00,69.28,0.00
353,01/10/22, 0.00,69.28,0.00
354,01/11/22, 0.00,69.28,0.00
355,01/12/22, 0.00,69.28,0.00
356,01/13/22, 0.00,69.28,0.00
357,01/14/22, 0.00,69.28,0.00
358,01/15/22, 0.00,69.28,0.00
359,01/16/22, 0.00,69.28,0.00
360,01/17/22, 0.00,69.28,0.00
361,01/18/22, 0.00,69.28,0.00
362,01/19/22, 0.00,69.28,0.00
363,01/20/22, 0.00,69.28,0.00
364,01/21/22, 0.00,69.28,0.00
